Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
EMIL,Buy,105.5,102.91,95.81,123.02
HINDPETRO,Buy,369.85,359.19,331.35,381.12
INDOCO,Sell,248.8,258.0,273.86,198.98
KRITINUT,Buy,83.51,81.5,75.84,94.27
LLOYDSENGG,Buy,70.75,68.2,62.98,76.54
MTARTECH,Buy,7159.5,6666.5,5642.96,8036.62
POONAWALLA,Buy,391.9,376.0,357.62,401.23
RUBICON,Sell,1294.23,1303.723372559159,1406.58,1166.85
SOLEX,Buy,1070.2,1050.0,944.64,1227.49
TCPLPACK,Buy,2500.02,2469.06,2319.5,2586.23
WCIL,Buy,93.75,91.9,86.93,99.19
